"","year","age","value","groups","Age","Year"
"1",1990,2,0,"obs","2","1990"
"2",1990,3,0.00064664,"obs","3","1990"
"3",1990,4,0.00189303,"obs","4","1990"
"4",1990,5,0.0291219,"obs","5","1990"
"5",1990,6,0.0541582,"obs","6","1990"
"6",1990,7,0.0265292,"obs","7","1990"
"7",1990,8,0.0407576,"obs","8","1990"
"8",1990,9,0.0538051,"obs","9","1990"
"9",1990,10,0.0446808,"obs","10","1990"
"10",1990,11,0.0577166,"obs","11","1990"
"11",1990,12,0.0351817,"obs","12","1990"
"12",1990,13,0.0536349,"obs","13","1990"
"13",1990,14,0.0824239,"obs","14","1990"
"14",1990,15,0.0970959,"obs","15","1990"
"15",1990,16,0.0508499,"obs","16","1990"
"16",1990,17,0.0507552,"obs","17","1990"
"17",1990,18,0.00671449,"obs","18","1990"
"18",1990,19,0.0112142,"obs","19","1990"
"19",1990,20,0.0655716,"obs","20","1990"
"20",1990,21,0.0663047,"obs","21","1990"
"21",1990,22,0.0457547,"obs","22","1990"
"22",1990,23,0.0191602,"obs","23","1990"
"23",1990,24,0.00894479,"obs","24","1990"
"24",1990,25,0.00972657,"obs","25","1990"
"25",1990,26,0.033664,"obs","26","1990"
"26",1990,27,0.00636656,"obs","27","1990"
"27",1990,28,0.0116855,"obs","28","1990"
"28",1990,29,0.00183464,"obs","29","1990"
"29",1990,30,0.0097641,"obs","30","1990"
"30",1990,31,0.00956795,"obs","31","1990"
"31",1990,32,0.009044,"obs","32","1990"
"32",1990,33,0.00543132,"obs","33","1990"
"33",1990,34,0,"obs","34","1990"
"34",1990,35,0,"obs","35","1990"
"35",1990,36,0,"obs","36","1990"
"36",1990,37,0,"obs","37","1990"
"37",1990,38,0,"obs","38","1990"
"38",1990,39,0,"obs","39","1990"
"39",1990,40,0,"obs","40","1990"
"40",1990,41,0,"obs","41","1990"
"41",1990,42,0,"obs","42","1990"
"42",1990,43,0,"obs","43","1990"
"43",1990,44,0,"obs","44","1990"
"44",1990,45,0,"obs","45","1990"
"45",1993,2,0.000328089,"obs","2","1993"
"46",1993,3,0.00276567,"obs","3","1993"
"47",1993,4,0.00306054,"obs","4","1993"
"48",1993,5,0.00853558,"obs","5","1993"
"49",1993,6,0.0107702,"obs","6","1993"
"50",1993,7,0.0109516,"obs","7","1993"
"51",1993,8,0.0637709,"obs","8","1993"
"52",1993,9,0.120157,"obs","9","1993"
"53",1993,10,0.0654821,"obs","10","1993"
"54",1993,11,0.10307,"obs","11","1993"
"55",1993,12,0.0444548,"obs","12","1993"
"56",1993,13,0.0488963,"obs","13","1993"
"57",1993,14,0.0401033,"obs","14","1993"
"58",1993,15,0.0243466,"obs","15","1993"
"59",1993,16,0.0518696,"obs","16","1993"
"60",1993,17,0.0313112,"obs","17","1993"
"61",1993,18,0.0395967,"obs","18","1993"
"62",1993,19,0.0280362,"obs","19","1993"
"63",1993,20,0.00401467,"obs","20","1993"
"64",1993,21,0.023186,"obs","21","1993"
"65",1993,22,0.0340314,"obs","22","1993"
"66",1993,23,0.0444404,"obs","23","1993"
"67",1993,24,0.0444734,"obs","24","1993"
"68",1993,25,0.0463728,"obs","25","1993"
"69",1993,26,0.00686297,"obs","26","1993"
"70",1993,27,0.0167801,"obs","27","1993"
"71",1993,28,0.0222136,"obs","28","1993"
"72",1993,29,0.00569756,"obs","29","1993"
"73",1993,30,0,"obs","30","1993"
"74",1993,31,0.00243669,"obs","31","1993"
"75",1993,32,0.00950429,"obs","32","1993"
"76",1993,33,0.00535194,"obs","33","1993"
"77",1993,34,0.00562829,"obs","34","1993"
"78",1993,35,0.00557104,"obs","35","1993"
"79",1993,36,0.00936881,"obs","36","1993"
"80",1993,37,0.00123461,"obs","37","1993"
"81",1993,38,0,"obs","38","1993"
"82",1993,39,0.0137588,"obs","39","1993"
"83",1993,40,0.00156717,"obs","40","1993"
"84",1993,41,0,"obs","41","1993"
"85",1993,42,0,"obs","42","1993"
"86",1993,43,0,"obs","43","1993"
"87",1993,44,0,"obs","44","1993"
"88",1993,45,0,"obs","45","1993"
"89",1996,2,0.00253679,"obs","2","1996"
"90",1996,3,0.0024761,"obs","3","1996"
"91",1996,4,0.00129646,"obs","4","1996"
"92",1996,5,0.00211392,"obs","5","1996"
"93",1996,6,0.0111972,"obs","6","1996"
"94",1996,7,0.00573187,"obs","7","1996"
"95",1996,8,0.0206684,"obs","8","1996"
"96",1996,9,0.0410695,"obs","9","1996"
"97",1996,10,0.0531198,"obs","10","1996"
"98",1996,11,0.0852688,"obs","11","1996"
"99",1996,12,0.075864,"obs","12","1996"
"100",1996,13,0.0773004,"obs","13","1996"
"101",1996,14,0.0402733,"obs","14","1996"
"102",1996,15,0.0329026,"obs","15","1996"
"103",1996,16,0.0387663,"obs","16","1996"
"104",1996,17,0.0165233,"obs","17","1996"
"105",1996,18,0.0340966,"obs","18","1996"
"106",1996,19,0.0544658,"obs","19","1996"
"107",1996,20,0.0878763,"obs","20","1996"
"108",1996,21,0.0277009,"obs","21","1996"
"109",1996,22,0.0306749,"obs","22","1996"
"110",1996,23,0.030269,"obs","23","1996"
"111",1996,24,0.0333613,"obs","24","1996"
"112",1996,25,0.0268704,"obs","25","1996"
"113",1996,26,0.0522305,"obs","26","1996"
"114",1996,27,0.0136174,"obs","27","1996"
"115",1996,28,0.0147373,"obs","28","1996"
